iteration          time             xO2              xO              xN             xCO             xCN             xC3          xE(s1)          xC(b1)
     4075    2.0375E-01    1.284246E-20    1.000000E-20    2.291253E-18    2.525705E-02    4.750731E-02    1.154280E+00    7.500000E-06    1.000000E+00
     4100    2.0500E-01    1.000000E-20    1.000000E-20    1.819526E-18    2.525705E-02    4.750731E-02    1.154302E+00    7.500000E-06    1.000000E+00
     4125    2.0625E-01    1.000000E-20    1.000000E-20    1.444919E-18    2.525705E-02    4.750731E-02    1.154323E+00    7.500000E-06    1.000000E+00
     4150    2.0750E-01    1.000000E-20    1.000000E-20    1.147436E-18    2.525705E-02    4.750731E-02    1.154343E+00    7.500000E-06    1.000000E+00
     4175    2.0875E-01    1.000000E-20    1.000000E-20    9.112002E-19    2.525705E-02    4.750731E-02    1.154362E+00    7.500000E-06    1.000000E+00
     4200    2.1000E-01    1.000000E-20    1.000000E-20    7.236007E-19    2.525705E-02    4.750731E-02    1.154380E+00    7.500000E-06    1.000000E+00
     4225    2.1125E-01    1.000000E-20    1.000000E-20    5.746246E-19    2.525705E-02    4.750731E-02    1.154397E+00    7.500000E-06    1.000000E+00
     4250    2.1250E-01    1.000000E-20    1.000000E-20    4.563199E-19    2.525705E-02    4.750731E-02    1.154414E+00    7.500000E-06    1.000000E+00
     4275    2.1375E-01    1.000000E-20    1.000000E-20    3.623720E-19    2.525705E-02    4.750731E-02    1.154429E+00    7.500000E-06    1.000000E+00
     4300    2.1500E-01    1.000000E-20    1.000000E-20    2.877662E-19    2.525705E-02    4.750731E-02    1.154444E+00    7.500000E-06    1.000000E+00
     4325    2.1625E-01    1.000000E-20    1.000000E-20    2.285204E-19    2.525705E-02    4.750731E-02    1.154458E+00    7.500000E-06    1.000000E+00
     4350    2.1750E-01    1.000000E-20    1.000000E-20    1.814722E-19    2.525705E-02    4.750731E-02    1.154472E+00    7.500000E-06    1.000000E+00
     4375    2.1875E-01    1.000000E-20    1.000000E-20    1.441104E-19    2.525705E-02    4.750731E-02    1.154485E+00    7.500000E-06    1.000000E+00
     4400    2.2000E-01    1.000000E-20    1.000000E-20    1.144407E-19    2.525705E-02    4.750731E-02    1.154497E+00    7.500000E-06    1.000000E+00
     4425    2.2125E-01    1.000000E-20    1.000000E-20    9.087946E-20    2.525705E-02    4.750731E-02    1.154509E+00    7.500000E-06    1.000000E+00
     4450    2.2250E-01    1.000000E-20    1.000000E-20    7.216904E-20    2.525705E-02    4.750731E-02    1.154520E+00    7.500000E-06    1.000000E+00
     4475    2.2375E-01    1.000000E-20    1.000000E-20    5.731076E-20    2.525705E-02    4.750731E-02    1.154531E+00    7.500000E-06    1.000000E+00
