iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
      189    1.8900E-07    1.082445E+00    1.202717E-01    1.321794E-07    6.661245E-07    3.430296E-06
      190    1.9000E-07    1.082445E+00    1.202717E-01    1.321663E-07    6.664798E-07    3.429954E-06
      191    1.9100E-07    1.082445E+00    1.202717E-01    1.321534E-07    6.668333E-07    3.429613E-06
      192    1.9200E-07    1.082445E+00    1.202717E-01    1.321405E-07    6.671850E-07    3.429275E-06
      193    1.9300E-07    1.082445E+00    1.202717E-01    1.321277E-07    6.675348E-07    3.428938E-06
      194    1.9400E-07    1.082445E+00    1.202717E-01    1.321149E-07    6.678827E-07    3.428602E-06
      195    1.9500E-07    1.082445E+00    1.202717E-01    1.321022E-07    6.682289E-07    3.428269E-06
      196    1.9600E-07    1.082445E+00    1.202717E-01    1.320896E-07    6.685732E-07    3.427937E-06
      197    1.9700E-07    1.082445E+00    1.202717E-01    1.320770E-07    6.689158E-07    3.427607E-06
      198    1.9800E-07    1.082445E+00    1.202717E-01    1.320645E-07    6.692565E-07    3.427279E-06
      199    1.9900E-07    1.082445E+00    1.202717E-01    1.320521E-07    6.695955E-07    3.426952E-06
      200    2.0000E-07    1.082445E+00    1.202717E-01    1.320397E-07    6.699327E-07    3.426628E-06
      201    2.0100E-07    1.082445E+00    1.202717E-01    1.320274E-07    6.702681E-07    3.426304E-06
      202    2.0200E-07    1.082445E+00    1.202717E-01    1.320152E-07    6.706018E-07    3.425983E-06
      203    2.0300E-07    1.082445E+00    1.202717E-01    1.320030E-07    6.709337E-07    3.425663E-06
      204    2.0400E-07    1.082445E+00    1.202717E-01    1.319909E-07    6.712639E-07    3.425345E-06
      205    2.0500E-07    1.082445E+00    1.202717E-01    1.319789E-07    6.715923E-07    3.425029E-06
      206    2.0600E-07    1.082445E+00    1.202717E-01    1.319669E-07    6.719191E-07    3.424714E-06
      207    2.0700E-07    1.082445E+00    1.202717E-01    1.319550E-07    6.722441E-07    3.424401E-06
      208    2.0800E-07    1.082445E+00    1.202717E-01    1.319432E-07    6.725674E-07    3.424089E-06
      209    2.0900E-07    1.082445E+00    1.202717E-01    1.319314E-07    6.728891E-07    3.423780E-06
      210    2.1000E-07    1.082445E+00    1.202717E-01    1.319197E-07    6.732090E-07    3.423471E-06
      211    2.1100E-07    1.082445E+00    1.202717E-01    1.319080E-07    6.735273E-07    3.423165E-06
      212    2.1200E-07    1.082445E+00    1.202717E-01    1.318964E-07    6.738439E-07    3.422860E-06
      213    2.1300E-07    1.082445E+00    1.202717E-01    1.318849E-07    6.741589E-07    3.422556E-06
      214    2.1400E-07    1.082445E+00    1.202717E-01    1.318734E-07    6.744722E-07    3.422254E-06
      215    2.1500E-07    1.082445E+00    1.202717E-01    1.318620E-07    6.747838E-07    3.421954E-06
      216    2.1600E-07    1.082445E+00    1.202717E-01    1.318506E-07    6.750939E-07    3.421656E-06
      217    2.1700E-07    1.082445E+00    1.202717E-01    1.318393E-07    6.754023E-07    3.421358E-06
      218    2.1800E-07    1.082445E+00    1.202717E-01    1.318281E-07    6.757091E-07    3.421063E-06
      219    2.1900E-07    1.082445E+00    1.202717E-01    1.318169E-07    6.760143E-07    3.420769E-06
