iteration          time             xO2              xO          xE(s1)          xO(s1)
     2690    2.6900E-05    1.082445E+00    1.202717E-01    2.613093E-07    7.238691E-06
     2700    2.7000E-05    1.082445E+00    1.202717E-01    2.613022E-07    7.238698E-06
     2710    2.7100E-05    1.082445E+00    1.202717E-01    2.612955E-07    7.238705E-06
     2720    2.7200E-05    1.082445E+00    1.202717E-01    2.612889E-07    7.238711E-06
     2730    2.7300E-05    1.082445E+00    1.202717E-01    2.612826E-07    7.238717E-06
     2740    2.7400E-05    1.082445E+00    1.202717E-01    2.612766E-07    7.238723E-06
     2750    2.7500E-05    1.082445E+00    1.202717E-01    2.612707E-07    7.238729E-06
     2760    2.7600E-05    1.082445E+00    1.202717E-01    2.612651E-07    7.238735E-06
     2770    2.7700E-05    1.082445E+00    1.202717E-01    2.612597E-07    7.238740E-06
     2780    2.7800E-05    1.082445E+00    1.202717E-01    2.612544E-07    7.238746E-06
     2790    2.7900E-05    1.082445E+00    1.202717E-01    2.612494E-07    7.238751E-06
     2800    2.8000E-05    1.082445E+00    1.202717E-01    2.612445E-07    7.238755E-06
     2810    2.8100E-05    1.082445E+00    1.202717E-01    2.612398E-07    7.238760E-06
     2820    2.8200E-05    1.082445E+00    1.202717E-01    2.612353E-07    7.238765E-06
     2830    2.8300E-05    1.082445E+00    1.202717E-01    2.612310E-07    7.238769E-06
     2840    2.8400E-05    1.082445E+00    1.202717E-01    2.612268E-07    7.238773E-06
     2850    2.8500E-05    1.082445E+00    1.202717E-01    2.612227E-07    7.238777E-06
     2860    2.8600E-05    1.082445E+00    1.202717E-01    2.612188E-07    7.238781E-06
     2870    2.8700E-05    1.082445E+00    1.202717E-01    2.612151E-07    7.238785E-06
     2880    2.8800E-05    1.082445E+00    1.202717E-01    2.612115E-07    7.238789E-06
     2890    2.8900E-05    1.082445E+00    1.202717E-01    2.612080E-07    7.238792E-06
     2900    2.9000E-05    1.082445E+00    1.202717E-01    2.612046E-07    7.238795E-06
     2910    2.9100E-05    1.082445E+00    1.202717E-01    2.612014E-07    7.238799E-06
     2920    2.9200E-05    1.082445E+00    1.202717E-01    2.611982E-07    7.238802E-06
     2930    2.9300E-05    1.082445E+00    1.202717E-01    2.611952E-07    7.238805E-06
     2940    2.9400E-05    1.082445E+00    1.202717E-01    2.611923E-07    7.238808E-06
     2950    2.9500E-05    1.082445E+00    1.202717E-01    2.611895E-07    7.238810E-06
     2960    2.9600E-05    1.082445E+00    1.202717E-01    2.611868E-07    7.238813E-06
     2970    2.9700E-05    1.082445E+00    1.202717E-01    2.611843E-07    7.238816E-06
     2980    2.9800E-05    1.082445E+00    1.202717E-01    2.611817E-07    7.238818E-06
     2990    2.9900E-05    1.082445E+00    1.202717E-01    2.611793E-07    7.238821E-06
     3000    3.0000E-05    1.082445E+00    1.202717E-01    2.611770E-07    7.238823E-06
     3010    3.0100E-05    1.082445E+00    1.202717E-01    2.611748E-07    7.238825E-06
     3020    3.0200E-05    1.082445E+00    1.202717E-01    2.611726E-07    7.238827E-06
     3030    3.0300E-05    1.082445E+00    1.202717E-01    2.611705E-07    7.238829E-06
     3040    3.0400E-05    1.082445E+00    1.202717E-01    2.611685E-07    7.238831E-06
     3050    3.0500E-05    1.082445E+00    1.202717E-01    2.611666E-07    7.238833E-06
     3060    3.0600E-05    1.082445E+00    1.202717E-01    2.611647E-07    7.238835E-06
     3070    3.0700E-05    1.082445E+00    1.202717E-01    2.611629E-07    7.238837E-06
     3080    3.0800E-05    1.082445E+00    1.202717E-01    2.611612E-07    7.238839E-06
     3090    3.0900E-05    1.082445E+00    1.202717E-01    2.611595E-07    7.238840E-06
     3100    3.1000E-05    1.082445E+00    1.202717E-01    2.611579E-07    7.238842E-06
     3110    3.1100E-05    1.082445E+00    1.202717E-01    2.611564E-07    7.238844E-06
     3120    3.1200E-05    1.082445E+00    1.202717E-01    2.611549E-07    7.238845E-06
     3130    3.1300E-05    1.082445E+00    1.202717E-01    2.611534E-07    7.238847E-06
     3140    3.1400E-05    1.082445E+00    1.202717E-01    2.611521E-07    7.238848E-06
     3150    3.1500E-05    1.082445E+00    1.202717E-01    2.611507E-07    7.238849E-06
     3160    3.1600E-05    1.082445E+00    1.202717E-01    2.611494E-07    7.238851E-06
