iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
      127    2.5400E-06    9.501462E-01    2.525699E-01    1.204498E-15    1.204510E-15    2.571682E-09    6.288256E-06    1.006568E-15    1.211744E-06
      128    2.5600E-06    9.501462E-01    2.525699E-01    1.204525E-15    1.204525E-15    2.599315E-09    6.280297E-06    1.006594E-15    1.219703E-06
      129    2.5800E-06    9.501462E-01    2.525699E-01    1.204552E-15    1.204539E-15    2.627050E-09    6.272358E-06    1.006620E-15    1.227642E-06
      130    2.6000E-06    9.501462E-01    2.525699E-01    1.204579E-15    1.204553E-15    2.654888E-09    6.264440E-06    1.006645E-15    1.235560E-06
      131    2.6200E-06    9.501462E-01    2.525699E-01    1.204606E-15    1.204567E-15    2.682827E-09    6.256543E-06    1.006670E-15    1.243457E-06
      132    2.6400E-06    9.501462E-01    2.525699E-01    1.204633E-15    1.204581E-15    2.710867E-09    6.248666E-06    1.006694E-15    1.251334E-06
      133    2.6600E-06    9.501462E-01    2.525699E-01    1.204661E-15    1.204596E-15    2.739009E-09    6.240810E-06    1.006719E-15    1.259190E-06
      134    2.6800E-06    9.501462E-01    2.525699E-01    1.204689E-15    1.204610E-15    2.767251E-09    6.232974E-06    1.006743E-15    1.267026E-06
      135    2.7000E-06    9.501462E-01    2.525699E-01    1.204717E-15    1.204624E-15    2.795595E-09    6.225159E-06    1.006766E-15    1.274841E-06
      136    2.7200E-06    9.501462E-01    2.525699E-01    1.204745E-15    1.204638E-15    2.824039E-09    6.217363E-06    1.006789E-15    1.282637E-06
      137    2.7400E-06    9.501462E-01    2.525698E-01    1.204773E-15    1.204652E-15    2.852583E-09    6.209588E-06    1.006812E-15    1.290412E-06
      138    2.7600E-06    9.501462E-01    2.525698E-01    1.204802E-15    1.204667E-15    2.881227E-09    6.201833E-06    1.006835E-15    1.298167E-06
      139    2.7800E-06    9.501462E-01    2.525698E-01    1.204830E-15    1.204681E-15    2.909970E-09    6.194098E-06    1.006857E-15    1.305902E-06
      140    2.8000E-06    9.501462E-01    2.525698E-01    1.204859E-15    1.204695E-15    2.938813E-09    6.186383E-06    1.006879E-15    1.313617E-06
      141    2.8200E-06    9.501462E-01    2.525698E-01    1.204888E-15    1.204709E-15    2.967755E-09    6.178688E-06    1.006901E-15    1.321312E-06
      142    2.8400E-06    9.501462E-01    2.525698E-01    1.204917E-15    1.204723E-15    2.996796E-09    6.171013E-06    1.006922E-15    1.328988E-06
      143    2.8600E-06    9.501462E-01    2.525698E-01    1.204946E-15    1.204738E-15    3.025936E-09    6.163357E-06    1.006943E-15    1.336643E-06
      144    2.8800E-06    9.501462E-01    2.525698E-01    1.204976E-15    1.204752E-15    3.055174E-09    6.155721E-06    1.006963E-15    1.344279E-06
      145    2.9000E-06    9.501462E-01    2.525698E-01    1.205006E-15    1.204766E-15    3.084510E-09    6.148104E-06    1.006984E-15    1.351896E-06
      146    2.9200E-06    9.501462E-01    2.525698E-01    1.205035E-15    1.204780E-15    3.113945E-09    6.140507E-06    1.007004E-15    1.359493E-06
      147    2.9400E-06    9.501462E-01    2.525698E-01    1.205065E-15    1.204794E-15    3.143476E-09    6.132930E-06    1.007023E-15    1.367070E-06
      148    2.9600E-06    9.501462E-01    2.525698E-01    1.205096E-15    1.204809E-15    3.173105E-09    6.125372E-06    1.007042E-15    1.374628E-06
      149    2.9800E-06    9.501462E-01    2.525698E-01    1.205126E-15    1.204823E-15    3.202832E-09    6.117833E-06    1.007061E-15    1.382167E-06
      150    3.0000E-06    9.501462E-01    2.525698E-01    1.205156E-15    1.204837E-15    3.232655E-09    6.110313E-06    1.007080E-15    1.389687E-06
      151    3.0200E-06    9.501462E-01    2.525698E-01    1.205187E-15    1.204851E-15    3.262575E-09    6.102813E-06    1.007098E-15    1.397187E-06
      152    3.0400E-06    9.501462E-01    2.525698E-01    1.205218E-15    1.204865E-15    3.292591E-09    6.095332E-06    1.007116E-15    1.404668E-06
      153    3.0600E-06    9.501462E-01    2.525698E-01    1.205249E-15    1.204880E-15    3.322703E-09    6.087869E-06    1.007134E-15    1.412131E-06
