iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
      128    2.5600E-06    9.501462E-01    2.525699E-01    1.204547E-15    1.204525E-15    2.612245E-09    6.283161E-06    1.006548E-15    1.216839E-06
      129    2.5800E-06    9.501462E-01    2.525699E-01    1.204574E-15    1.204539E-15    2.640045E-09    6.275236E-06    1.006574E-15    1.224764E-06
      130    2.6000E-06    9.501462E-01    2.525699E-01    1.204601E-15    1.204553E-15    2.667947E-09    6.267331E-06    1.006599E-15    1.232669E-06
      131    2.6200E-06    9.501462E-01    2.525699E-01    1.204628E-15    1.204567E-15    2.695950E-09    6.259447E-06    1.006623E-15    1.240553E-06
      132    2.6400E-06    9.501462E-01    2.525699E-01    1.204656E-15    1.204581E-15    2.724054E-09    6.251583E-06    1.006648E-15    1.248417E-06
      133    2.6600E-06    9.501462E-01    2.525699E-01    1.204684E-15    1.204596E-15    2.752259E-09    6.243740E-06    1.006672E-15    1.256260E-06
      134    2.6800E-06    9.501462E-01    2.525699E-01    1.204712E-15    1.204610E-15    2.780565E-09    6.235917E-06    1.006696E-15    1.264083E-06
      135    2.7000E-06    9.501462E-01    2.525699E-01    1.204740E-15    1.204624E-15    2.808970E-09    6.228114E-06    1.006719E-15    1.271886E-06
      136    2.7200E-06    9.501462E-01    2.525699E-01    1.204768E-15    1.204638E-15    2.837476E-09    6.220331E-06    1.006742E-15    1.279669E-06
      137    2.7400E-06    9.501462E-01    2.525699E-01    1.204796E-15    1.204652E-15    2.866082E-09    6.212568E-06    1.006765E-15    1.287432E-06
      138    2.7600E-06    9.501462E-01    2.525698E-01    1.204825E-15    1.204667E-15    2.894787E-09    6.204825E-06    1.006787E-15    1.295175E-06
      139    2.7800E-06    9.501462E-01    2.525698E-01    1.204854E-15    1.204681E-15    2.923591E-09    6.197103E-06    1.006809E-15    1.302897E-06
      140    2.8000E-06    9.501462E-01    2.525698E-01    1.204882E-15    1.204695E-15    2.952495E-09    6.189400E-06    1.006831E-15    1.310600E-06
      141    2.8200E-06    9.501462E-01    2.525698E-01    1.204911E-15    1.204709E-15    2.981497E-09    6.181716E-06    1.006852E-15    1.318284E-06
      142    2.8400E-06    9.501462E-01    2.525698E-01    1.204941E-15    1.204723E-15    3.010597E-09    6.174053E-06    1.006873E-15    1.325947E-06
      143    2.8600E-06    9.501462E-01    2.525698E-01    1.204970E-15    1.204738E-15    3.039796E-09    6.166409E-06    1.006894E-15    1.333591E-06
      144    2.8800E-06    9.501462E-01    2.525698E-01    1.205000E-15    1.204752E-15    3.069093E-09    6.158785E-06    1.006914E-15    1.341215E-06
      145    2.9000E-06    9.501462E-01    2.525698E-01    1.205029E-15    1.204766E-15    3.098488E-09    6.151180E-06    1.006934E-15    1.348820E-06
      146    2.9200E-06    9.501462E-01    2.525698E-01    1.205059E-15    1.204780E-15    3.127980E-09    6.143595E-06    1.006954E-15    1.356405E-06
      147    2.9400E-06    9.501462E-01    2.525698E-01    1.205089E-15    1.204794E-15    3.157569E-09    6.136029E-06    1.006973E-15    1.363971E-06
      148    2.9600E-06    9.501462E-01    2.525698E-01    1.205120E-15    1.204809E-15    3.187255E-09    6.128482E-06    1.006993E-15    1.371518E-06
      149    2.9800E-06    9.501462E-01    2.525698E-01    1.205150E-15    1.204823E-15    3.217038E-09    6.120954E-06    1.007011E-15    1.379046E-06
      150    3.0000E-06    9.501462E-01    2.525698E-01    1.205181E-15    1.204837E-15    3.246918E-09    6.113446E-06    1.007030E-15    1.386554E-06
      151    3.0200E-06    9.501462E-01    2.525698E-01    1.205211E-15    1.204851E-15    3.276894E-09    6.105957E-06    1.007048E-15    1.394043E-06
      152    3.0400E-06    9.501462E-01    2.525698E-01    1.205242E-15    1.204866E-15    3.306966E-09    6.098486E-06    1.007066E-15    1.401514E-06
