iteration          time             xO2              xO          xE(s1)          xO(s1)
     1630    1.6300E-05    1.082451E+00    1.202660E-01    2.708271E-07    7.229173E-06
     1640    1.6400E-05    1.082451E+00    1.202660E-01    2.704753E-07    7.229525E-06
     1650    1.6500E-05    1.082451E+00    1.202660E-01    2.701362E-07    7.229864E-06
     1660    1.6600E-05    1.082451E+00    1.202660E-01    2.698094E-07    7.230191E-06
     1670    1.6700E-05    1.082451E+00    1.202660E-01    2.694944E-07    7.230506E-06
     1680    1.6800E-05    1.082451E+00    1.202659E-01    2.691909E-07    7.230809E-06
     1690    1.6900E-05    1.082451E+00    1.202659E-01    2.688984E-07    7.231102E-06
     1700    1.7000E-05    1.082451E+00    1.202659E-01    2.686165E-07    7.231383E-06
     1710    1.7100E-05    1.082451E+00    1.202659E-01    2.683449E-07    7.231655E-06
     1720    1.7200E-05    1.082451E+00    1.202659E-01    2.680831E-07    7.231917E-06
     1730    1.7300E-05    1.082451E+00    1.202659E-01    2.678308E-07    7.232169E-06
     1740    1.7400E-05    1.082451E+00    1.202659E-01    2.675877E-07    7.232412E-06
     1750    1.7500E-05    1.082451E+00    1.202659E-01    2.673533E-07    7.232647E-06
     1760    1.7600E-05    1.082451E+00    1.202659E-01    2.671275E-07    7.232873E-06
     1770    1.7700E-05    1.082451E+00    1.202658E-01    2.669099E-07    7.233090E-06
     1780    1.7800E-05    1.082451E+00    1.202658E-01    2.667001E-07    7.233300E-06
     1790    1.7900E-05    1.082451E+00    1.202658E-01    2.664980E-07    7.233502E-06
     1800    1.8000E-05    1.082451E+00    1.202658E-01    2.663032E-07    7.233697E-06
     1810    1.8100E-05    1.082451E+00    1.202658E-01    2.661154E-07    7.233885E-06
     1820    1.8200E-05    1.082451E+00    1.202658E-01    2.659345E-07    7.234065E-06
     1830    1.8300E-05    1.082451E+00    1.202658E-01    2.657601E-07    7.234240E-06
     1840    1.8400E-05    1.082451E+00    1.202658E-01    2.655921E-07    7.234408E-06
     1850    1.8500E-05    1.082451E+00    1.202658E-01    2.654301E-07    7.234570E-06
     1860    1.8600E-05    1.082451E+00    1.202658E-01    2.652740E-07    7.234726E-06
     1870    1.8700E-05    1.082451E+00    1.202657E-01    2.651236E-07    7.234876E-06
     1880    1.8800E-05    1.082451E+00    1.202657E-01    2.649787E-07    7.235021E-06
     1890    1.8900E-05    1.082451E+00    1.202657E-01    2.648389E-07    7.235161E-06
     1900    1.9000E-05    1.082451E+00    1.202657E-01    2.647043E-07    7.235296E-06
     1910    1.9100E-05    1.082451E+00    1.202657E-01    2.645745E-07    7.235425E-06
     1920    1.9200E-05    1.082451E+00    1.202657E-01    2.644495E-07    7.235551E-06
     1930    1.9300E-05    1.082451E+00    1.202657E-01    2.643289E-07    7.235671E-06
     1940    1.9400E-05    1.082451E+00    1.202657E-01    2.642128E-07    7.235787E-06
     1950    1.9500E-05    1.082451E+00    1.202657E-01    2.641008E-07    7.235899E-06
     1960    1.9600E-05    1.082451E+00    1.202657E-01    2.639929E-07    7.236007E-06
     1970    1.9700E-05    1.082451E+00    1.202656E-01    2.638889E-07    7.236111E-06
     1980    1.9800E-05    1.082451E+00    1.202656E-01    2.637887E-07    7.236211E-06
     1990    1.9900E-05    1.082451E+00    1.202656E-01    2.636921E-07    7.236308E-06
     2000    2.0000E-05    1.082451E+00    1.202656E-01    2.635991E-07    7.236401E-06
